iter	Passed	Remaining
403	9319	13747
404	9341	13723
405	9361	13696
406	9388	13679
407	9411	13656
408	9432	13630
409	9456	13607
410	9477	13582
411	9498	13555
412	9519	13530
413	9541	13505
414	9562	13480
415	9585	13457
416	9606	13430
417	9626	13403
418	9648	13379
419	9670	13354
420	9690	13327
421	9712	13303
422	9737	13282
423	9770	13273
424	9796	13253
425	9824	13237
426	9851	13219
427	9877	13200
428	9902	13180
429	9923	13154
430	9947	13131
431	9970	13109
432	9991	13083
433	10013	13058
434	10035	13034
435	10055	13007
436	10077	12983
437	10099	12959
438	10121	12934
439	10142	12908
440	10165	12885
441	10192	12867
442	10217	12846
443	10240	12823
444	10261	12798
445	10283	12773
446	10303	12747
447	10326	12724
448	10349	12700
449	10371	12676
450	10393	12651
451	10415	12627
452	10437	12602
453	10459	12578
454	10482	12555
455	10504	12531
456	10526	12507
457	10547	12481
458	10568	12456
459	10588	12430
460	10609	12404
461	10632	12381
462	10653	12356
463	10674	12331
464	10697	12307
465	10719	12283
466	10740	12258
467	10763	12235
468	10784	12210
469	10806	12185
470	10828	12161
471	10850	12137
472	10870	12111
473	10894	12090
474	10917	12066
475	10942	12045
476	10968	12026
477	10992	12003
478	11014	11980
479	11037	11957
480	11060	11934
481	11081	11909
482	11102	11884
483	11126	11862
484	11149	11839
485	11169	11813
486	11191	11788
487	11212	11763
488	11233	11738
489	11254	11714
490	11276	11689
491	11296	11664
492	11316	11638
493	11336	11612
494	11358	11587
495	11380	11563
496	11402	11539
497	11426	11518
498	11453	11499
499	11476	11476
500	11501	11455
501	11527	11435
502	11549	11412
503	11571	11387
504	11592	11363
505	11612	11337
506	11632	11311
507	11653	11286
508	11673	11260
509	11695	11236
510	11716	11212
511	11737	11187
512	11759	11163
513	11780	11138
514	11800	11113
515	11822	11089
516	11842	11063
517	11862	11037
518	11884	11014
519	11906	10990
520	11927	10965
521	11949	10942
522	11972	10919
523	11992	10893
524	12013	10869
525	12033	10843
526	12055	10820
527	12076	10795
528	12098	10772
529	12119	10747
530	12143	10725
531	12166	10702
532	12189	10680
533	12214	10658
534	12238	10636
535	12262	10615
536	12285	10592
537	12309	10570
538	12328	10544
539	12348	10519
540	12372	10496
541	12397	10476
542	12423	10455
543	12448	10434
544	12469	10410
545	12490	10385
546	12513	10362
547	12534	10338
548	12554	10313
549	12575	10288
550	12595	10263
551	12617	10240
552	12638	10215
553	12658	10191
554	12679	10166
555	12701	10142
556	12722	10118
557	12742	10093
558	12762	10068
559	12783	10044
560	12803	10019
561	12823	9994
562	12845	9971
563	12867	9947
564	12887	9922
565	12907	9897
566	12928	9873
567	12951	9850
568	12972	9826
569	12993	9801
570	13013	9777
571	13034	9753
